PRODUCT_NAME,CATEGORY_NAME,DESCRIPTION,PRICE,DISCOUNT,IN_STORE_LOCATION
adidas Sleek Shoes,Shoes,"In collaboration with HER Studio London, these adidas Sleek Shoes keep things clean while adding a pop of color on the heel. Because it wouldn't be a collaboration with the women-led design studio if there wasn't a distinctive print. It's their signature, after all. Perforated 3-Stripes root the look in adidas heritage.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",56,24.0,"Aisle 8, Shelf 6"
Marimekko Oversize Tee,Clothing,"Celebrate color. Celebrate you. Wrap up in a bright, bold print from Finnish design house Marimekko and dare to let your creative, colorful and absolutely unique voice shine. The loose cut and soft cotton of this adidas t-shirt keep you comfy while you're at it. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",32,8.0,"Aisle 9, Shelf 3"
Classic Waist Bag,Accessories,"When you've got ground to cover and places to be, you don't want to get bogged down by your gear. Travel fast and light with this adidas waist bag. Buckle it around your waist to go hands-free or sling it across your body to tie off your look. However you wear it, all your essentials will stay securely zipped inside. 

This product is made with recycled content as part of our ambition to end plastic waste.",16,4.0,"Aisle 3, Shelf 11"
Cropped Letter Hoodie,Clothing,"Play up casual style with a bold adidas graphic. This cropped hoodie takes your look to the next level with collegiate block lettering on the raglan sleeves. Soft French terry keeps you comfortable all day. Pair with a denim skirt and platform shoes for an outfit that feels effortlessly cool. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.",52,13.0,"Aisle 9, Shelf 4"
AEROREADY Designed to Move Sport Motion Logo Hoodie,Clothing,"For the person who's always on the move, this training hoodie matches your busy lifestyle step for step. From a morning run to a chilly shootaround in the park, stay layered up and warm while moving freely and comfortably. The adidas Badge of Sport completes the sports-inspired, daily-wear look.",52,13.0,"Aisle 9, Shelf 5"
Tensor Run Shoes,Shoes,"One pair for every activity? In these kids' shoes, they'll stay comfortable everywhere they roam. The breathable upper keeps feet cool while a lightweight unitsole cushions their steps. Welded 3-Stripes on the sides are instantly recognizable.",36,9.0,"Aisle 8, Shelf 7"
Supernova+ Shoes,Shoes,"Take off. Touch down. Repeat. The process is simple, but not always easy. These adidas running shoes keep you comfortable from your first mile to your first race. The plus in the name refers to the extra Boost in the hybrid midsole, which gives this version of the Supernova more energy return. The engineered mesh upper provides support and ventilation where you need it most.",96,24.0,"Aisle 8, Shelf 8"
Predator Freak.3 Turf Shoes,Shoes,"Walls can't contain you. Rivals can't hold you back. On the court, you're in control. Release your full force of nature in Predator Freak. Their supportive mid-cut design and grippy rubber outsole ensure these adidas soccer shoes keep you dominating on artificial turf. 3D-printed Demonscale elements spread further across their coated mesh upper to help you improve your mastery of the ball.",64,16.0,"Aisle 8, Shelf 9"
Adicolor Classics Collegiate Cropped Hoodie,Clothing,"Ease takes many forms. One of them is this adidas hoodie. It's all about comfort with a super-soft feel, ribbed details and a hood you can pull up when you want to tune out from the world a little more. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",59,6.0,"Aisle 9, Shelf 6"
Waist Bag,Accessories,"If you appreciate the finer things, you'll appreciate the total glam of this adidas waist bag. Toss in your phone, keys and cash, buckle it on and walk out the door. When you do, you'll feel the spotlight on your every step, thanks to luxe satin and pops of gold.

This product is made with recycled content as part of our ambition to end plastic waste.",19,4.0,"Aisle 3, Shelf 12"
Designed to Move High-Rise Sport Zebra 7/8 Tights,Clothing,"Lunge, twist and stretch through your full range of motion. These adidas training tights have a stretchy build that lets you move freely. The AEROREADY tights absorb moisture to keep you dry during rush hour at the gym. Tuck workout reminders into the back pocket where they're easy to access. 

This product is made with Primegreen, a series of high-performance recycled materials.",36,9.0,"Aisle 9, Shelf 7"
Funny Dino Tee (Gender Neutral),Clothing,"You know that friend who always has a clever joke and a smile? The one who walks in a room and brings good vibes with them? Well, in this adidas t-shirt, that friend is you. Just look at the dino. He's downright prehistoric, and even he's having a good time. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",25,10.0,"Aisle 9, Shelf 8"
adidas x Classic LEGO® Track Suit,Clothing,Unleash your little athlete's creativity and there's no limit to what they can accomplish. This kids' track suit is part of adidas' partnership with LEGO Group. Cotton-blend French terry keeps kids comfortable as they move. Bright primary colors and graphics nod to the LEGO® bricks that are an icon of childhood.,60,15.0,"Aisle 9, Shelf 9"
QT Racer Sport Shoes,Shoes,"These adidas shoes give you a smooth ride all day long, from your morning run to afternoon errands and then a backyard hangout at night. The Lightmotion midsole delivers super-lightweight cushioning you'll truly appreciate as the hours pass. 

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",52,13.0,"Aisle 8, Shelf 10"
Superstar Star Wars Shoes,Shoes,"Feel the Force every time you lace up in these juniors' adidas Superstar shoes. A basketball icon with over 50 years of history, these classic shoes have never shied away from breaking rules and pushing boundaries. Made in collaboration with Star Wars™, this version pays tribute to that rebellious attitude with playful graphics depicting Star Wars characters trying out new hobbies. After all, the Force should always we used for good.",53,22.0,"Aisle 8, Shelf 11"
ZX 360 Shoes,Shoes,"There's no one right way to move. As toddlers learn to explore the world around them, these adidas ZX 360 Shoes support them on their journey. The slip-on design makes them easy to get on and off so that they, and you, can get out the door quickly.",36,9.0,"Aisle 8, Shelf 12"
Ultraboost 21 Shoes,Shoes,"Prototype after prototype. Innovation after innovation. Testing after testing. Meet us in the hot pursuit of the pinnacle harmonization of weight, cushioning, and responsiveness. Ultraboost 21. Say hello to incredible energy return.",128,32.0,"Aisle 8, Shelf 13"
X9000L4 Shoes,Shoes,"A few miles can be enough to reset your mind. These adidas running shoes keep you feeling good on short- to mid-distance runs. They ride on a full-length Boost midsole, which returns energy with every stride. The design draws inspiration from the virtual realm, with shocks of color and semi-translucent details that are reminiscent of a glowing screen. A glitched pattern on the outsole offers grippy traction on city streets.",98,42.0,"Aisle 8, Shelf 14"
Manga Short Sleeve Tee,Clothing,"Channel your inner monster in this playful tee from adidas x Disney. It has a graphic of Pixar's Sulley on the side, reimagined as a manga character. Soft cotton fabric means you'll be comfy, not scared. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",32,8.0,"Aisle 9, Shelf 10"
Retrorun Shoes,Shoes,"From low key to dressy, these versatile adidas shoes pair with a variety of looks. The plush feel keeps you comfortable on casual strolls through the park and long afternoons on your feet. The retro design has suede overlays for a sharp finish.",52,13.0,"Aisle 8, Shelf 15"
ZX 8000 Shoes,Shoes,"The ZX 8000s have had collectors searching far and wide since their release in the mid 2000s. It's all part of the game, and now we're giving you a shortcut to win. The legendary adidas shoes are right here, right now, ready for your feet. No hunt required. They build on one of the most iconic colorways of the model's history, but with a twist of course. The signature Torsion bar is still there, and the iconic heel TPU counter too. They wouldn't be part of the ZX thousand series without them.",84,36.0,"Aisle 10, Shelf 1"
Superstar Mules,Shoes,"Reconstructed. Reimagined. Ever since they first stepped out onto the hardwood in the '70s, adidas Superstar shoes have been synonymous with boundary-breaking attitudes and evolving style. This pair honors that drive for progress with a sleek, slip-on design that keeps you decked out in bold, metallic style (without the need to lace up). So go ahead, slide in and head out. It's as easy as that.",60,25.0,"Aisle 10, Shelf 2"
Primeblue Designed 2 Move Woven 3-Stripes Sport Shorts,Clothing,"Classic athletic shorts that are up for every kind of workout. Super breathable, with side slits for easy mobility. Perfect for a HIIT class or your circuit on the weight machines. Or basically whatever you're planning to do to get your sweat on today. AEROREADY absorbs moisture to keep you dry as your day heats up.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.",20,5.0,"Aisle 9, Shelf 11"
Trefoil Hoodie (Plus Size),Clothing,"Rooted firmly in our cultural consciousness, the Trefoil has been connected to some of the most era-defining moments of the last half-century. Record setters. Game changers. Rule breakers. In this adidas Trefoil Hoodie, what will you do? Make some noise? Shake things up? Or simply chill, hard. Because with the soft, snug feel, you'll be comfortable enough to do anything and everything.",52,13.0,"Aisle 9, Shelf 12"
Vintage Airliner Luxe Shopper Bag,Accessories,"Slouchy sweat pants or business wear? Whatever your travel attire, this adidas airliner bag adds sophistication to your look with a patent leather build and brand pride in three different languages. Carry handles and a shoulder strap offer versatile carry.",41,17.0,"Aisle 3, Shelf 13"
Adicolor Classics Long Sleeve Tee,Clothing,"Alongside the rich history of the 3-Stripes comes a love of sport culture. Bring your pride for the brand and what it represents with you into your day. Pull on this classic long sleeve t-shirt for a look rooted in adidas heritage. Soft cotton keeps you comfortable.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",32,8.0,"Aisle 9, Shelf 13"
Santiago Lunch Bag,Accessories,"Training takes work. Pack up this adidas lunch bag and keep your body refueled and recharged. Insulated to keep your lunch cool, it's got a roomy main pocket and a front pocket for easy access to snacks. A clip on the top lets you attach it to another bag so you never leave it behind. 

This product is made with recycled content as part of our ambition to end plastic waste.",20,5.0,"Aisle 3, Shelf 14"
Bra Top,Clothing,"What's better than a cherry on top? A literal cherry print on a top. The fresh, fun print from HER Studio London has a colorful, playful energy that will boost your confidence the moment you pull it on. Classic details root this bra top in adidas heritage for the perfect blend of sweet and sport.

This product is made with recycled content as part of our ambition to end plastic waste.",25,10.0,"Aisle 9, Shelf 14"
Originals x Kevin Lyons SST Set,Clothing,"Little ones have a knack for fearlessly being themselves. That's what the playful monsters on this toddlers' adidas set are all about. Created with NY-based illustrator Kevin Lyons, they burst with color as a celebration of your kiddo's curious mind and original spirit. The matching top and bottom make daily style easy so they can get dressed fast and start exploring the world. 

This product is made with Primegreen, a series of high-performance recycled materials.",44,11.0,"Aisle 9, Shelf 15"
Adicolor Snap Case iPhone X,Accessories,"An Originals-style classic done in flexible TPU, this phone case has a two-tone look. It has authentic adidas attitude with a contrast Trefoil logo on the front and a tonal primary color look.",21,9.0,"Aisle 3, Shelf 15"
Samba shoes,Shoes,"This silhouette is a true reflection of sport meets style. Once an indoor football shoe, the model is now a timeless lifestyle icon. This colorway pairs minimal design with a subtle tie dye print across 3-Stripes branding and on the heel tab. ​

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content.",63,27.0,"Aisle 10, Shelf 3"
Adilette Comfort Sandals,Shoes,"Slide feet first into comfort. With a classic design, these adidas slides are the epitome of versatility and laid-back vibes. A contoured footbed delivers plush cushioning. A stylish bandage upper features adidas branding.",28,7.0,"Aisle 10, Shelf 4"
Samba OG Shoes,Shoes,"You don't have to step out on the pitch to rock the clean, classic look of adidas Samba shoes. First designed as a grippy, cold-weather soccer shoe, today's Samba is just as much of an icon in the city as it was on the field back when. Throwback colors and lettering let you honor the original version every time you lace up.",81,9.0,"Aisle 10, Shelf 5"
Advantage Eco Shoes,Shoes,"Embrace your greener side. These tennis-inspired shoes have a clean, minimalist style that highlights their use of recycled materials. The speckled outsole owes its varied hues to the recycled PU pellets held within, giving new life to old things.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",56,14.0,"Aisle 10, Shelf 6"
Classic Next Generation Athlete Backpack,Accessories,"Train. Work. Chill. Create. All in a day's routine. With a roomy main compartment and lots of pockets, this adidas backpack keeps you on track and organized through your busy schedule. Durable ripstop stands up to wear and tear, and a padded laptop compartment gives you quick access to your technology. The drawcord-plus-flap closure ensures your valuables stay secure. 

This product is made with recycled content as part of our ambition to end plastic waste.",35,15.0,"Aisle 11, Shelf 1"
Real Madrid Scarf,Accessories,Soccer support with frills. Hold your club colors high with this adidas Real Madrid Scarf. It has traditional fringe on either end and the club's name and badge front and center. The soft knit fabric ensures you keep reaching for it well beyond match day.,18,4.0,"Aisle 11, Shelf 2"
Court Rallye Slip Shoes,Shoes,"Nothing says low-key like a slip-on. Clean, simple and packed with adidas Skateboarding DNA, these Court Rallye shoes are everything you need and nothing you don't. Their canvas upper feels extra comfy with a padded ankle collar, and the flexible vulcanized outsole grips city streets.

Our cotton products support more sustainable cotton farming.",44,11.0,"Aisle 10, Shelf 7"
Sport Duffel Bag,Accessories,"Grab your gear and go. This adidas duffel bag gives you plenty of room and pockets to organize and access your training essentials. Carry it two ways with a shoulder strap and handles. Adjust the straps and handles to make them more comfortable. Two-tone color keeps your look chic.

This product is made with Primegreen, a series of high-performance recycled materials.",40,10.0,"Aisle 11, Shelf 3"
Advantage Shoes,Shoes,Comfort off the court. These kids' tennis-inspired shoes have a smooth leather-like upper with perforated 3-Stripes. A plush sockliner cushions their every step.,40,10.0,"Aisle 10, Shelf 8"
OZWEEGO Shoes,Shoes,"No need to announce your arrival when you have these adidas OZWEEGO Shoes laced on. Their bold, bulky build does all the talking for you. The retro-inspired sneakers also go ahead and take care of your comfort, kindly provided by the dreamy Adiprene cushioning and an EVA midsole.",77,33.0,"Aisle 10, Shelf 9"
Nizza Shoes,Shoes,"Slam dunk your street style. These adidas Nizza Shoes are a reissue of the classic 1978 B-ball trainers. The canvas upper keeps it real, and real soft. The signature toe bumper polishes off the look. Game on.",52,13.0,"Aisle 10, Shelf 10"
Adilette Aqua Slides,Shoes,An iconic style for slick surfaces. These quick-drying slides flash 3-Stripes across the bandage-style upper. Plush cushioning in the footbed provides the ultimate in comfort in and out of the shower.,20,5.0,"Aisle 10, Shelf 11"
Hoops 2.0 Mid Shoes,Shoes,"Built for the hardwood, ready for the playground. These kids' shoes bring a basketball-inspired style to active little feet. Made with a leather-like upper, the mid-cut design adds extra support. Contrast 3-Stripes stand out on the sides.",44,11.0,"Aisle 10, Shelf 12"
Climacool Vento Shoes,Shoes,"Don't shrink away from the sun. Harness its energy as you hit the pavement in these adidas running shoes. The super breathable mesh upper with HEAT.RDY maximizes airflow so you stay cool and ventilated even when the temperature rises and the heat builds. Segmented Boost cushioning returns energy with every take-off and landing, keeping your legs fresh and your mind free to focus on the clear blue skies.",98,42.0,"Aisle 10, Shelf 13"
How We Do Long Tights,Clothing,"Pull on your adidas super suit and fly through your city. The first piece you pull out of your closet and the last piece you take off, the staple piece of every run are the tights. Regulate temperature throughout your workout with moisture-wicking fabric. Mesh inserts in sensitive heat zones increase airflow.",60,15.0,"Aisle 12, Shelf 1"
Comfort Flip-Flops,Shoes,"Enjoy sunny days in the sand or on the pool deck. These thong sandals pamper your feet with a plush, quick-drying footbed. A rugged outsole delivers durability while the contrasting 3-Stripes provide a sporty look.",24,6.0,"Aisle 10, Shelf 14"
Classic Superlite Super-No-Show Socks 6 Pairs,Accessories,"No bunching. No slipping. No showing. Keep these adidas socks right where you want them, and enjoy dry, comfy feet all day. When you finally kick off your shoes, you'll be rewarded with the sight of a Trefoil logo and the knowledge that you have five more clean pairs to choose from for tomorrow.",16,4.0,"Aisle 11, Shelf 4"
Trefoil Superlite Super-No-Show Socks 6 Pairs,Accessories,"So lightweight, they're barely there. Splashed with pastel colors, this six-pack of adidas socks offers up an easy footwear choice nearly every day of the week. Ribbed cuffs ensure a stay-put fit. A super-no-show design means they won't peek out over your shoes.",16,4.0,"Aisle 11, Shelf 5"
Supernova Shoes,Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means cool feet even when you ramp up the speed.",70,30.0,"Aisle 10, Shelf 15"
adidas Adicolor Trefoil Hoodie,Clothing,"Which color tells your story best? Rooted in our heritage of sport, Adicolor is iconic adidas style in a spectrum of shades. This hoodie puts the spotlight on the Trefoil logo. French terry fabric is everyday-level cozy.",52,13.0,"Aisle 12, Shelf 2"
Superlite Super-No-Show Socks 6 Pairs,Accessories,"Refresh your sock drawer. These adidas socks work well for training sessions and everyday wear. The fabric is lightweight and ventilated, so you stay comfortable all day. The super-no-show length hides away inside trainers.",16,4.0,"Aisle 11, Shelf 6"
Adilette Boost Slides,Shoes,"Transition from sandy beaches to busy streets in premium comfort all summer long. These slides feature a full-length, energy-returning midsole that cradles your foot with supreme cushioning. Classic 3-Stripes on the bandage-style upper show off your adidas style.",48,12.0,"Aisle 13, Shelf 1"
Supernova Tokyo Shoes,Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means your feet stay cool even when you ramp up your speed.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",80,20.0,"Aisle 13, Shelf 2"
Stretch Cotton Boxer Briefs 3 Pairs,Clothing,"Little comforts make a big difference. Just look at these adidas boxer briefs. They're made with soft, quick-dry fabric that keeps you feeling fresh and a stay-put design that keeps you covered from your first rep to your last. Get comfortable and give it your all.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",24,6.0,"Aisle 12, Shelf 3"
Trefoil Backpack,Accessories,"You're all about the Trefoil. Now, so is your backpack, thanks to bold adidas branding. And behind that big, beautiful icon? Plenty of space to hold everything from laptop to earbuds.

This product is made with recycled content as part of our ambition to end plastic waste.",36,9.0,"Aisle 11, Shelf 7"
Sport Waist Pack,Accessories,Keys? Check. Phone? Check. Headphones? Yep. They're all packed away in this adidas pack with individual spaces for them all. Strap it around the waist or sling it across the chest. Either way you'll be hands free.,20,5.0,"Aisle 11, Shelf 8"
Believe This Solid 7/8 Tights​ (Plus Size),Clothing,"Snug as a second skin, these will make a great addition to your exercise ensemble.​

Designed to hug naturally around your body, these versatile tights are made of stretchy material that provides support and keeps you moving through any workout.

The soft, wide waistband allows for a flattering fit and eliminates irritations such as rolling or digging into your skin during exercises. Perform your forward fold or set of crunches with complete confidence.​",44,11.0,"Aisle 12, Shelf 4"
Hoodie,Clothing,"Here's the thing about options: They're good to have. This adidas hoodie gives you plenty. At first glance, it's pure sweatshirt vibes in soft French terry. But the zip on the side changes that. It extends all the way from the hem, up the side and down the sleeve. Zip it up or leave it open to create a statement look.",60,15.0,"Aisle 12, Shelf 5"
Techfit Tights,Clothing,"You've got big goals. These juniors' training tights help you achieve them. Techfit hugs your muscles for a supportive feel. adidas AEROREADY wicks moisture to keep you dry as you raise the intensity. 

This product is made with Primegreen, a series of high-performance recycled materials.",25,10.0,"Aisle 12, Shelf 6"
Superlite Low-Cut Socks 6 Pairs,Accessories,"Stay dry through your workout in these training socks. The moisture-wicking fabric is thin and light, giving them a barely there feel. With the low-cut length, the adidas Badge of Sport peeks out just above your trainers.",16,4.0,"Aisle 11, Shelf 9"
Colorwash No-Show Socks 3 Pairs,Accessories,"Keep things colorful, all the way down to your toes. This three-pack of adidas socks is constructed using colorwash dye to make each pair look unique. Super-lightweight and moisture-absorbing, they're extra-comfortable when you're on the go.",11,4.0,"Aisle 11, Shelf 10"
Sport Stripe High Quarter Socks 3 Pairs,Accessories,"When was the last time you said thanks to your feet? Show 'em some appreciation in these cushioned adidas socks. Arch compression and moisture-wicking yarn keep your feet comfy, so you can squat and lunge with ease. Who knows, at the end of the day, your feet might be the ones thanking you.",13,3.0,"Aisle 11, Shelf 11"
3-Stripes Crew Socks 3 Pairs,Accessories,"Jumping jacks on a hard gym floor or weighted runs around the block, cushion your stride with these adidas socks no matter what your workout requires. Arch compression and a cushioned footbed keep your feet comfy, while moisture-wicking yarn helps manage sweat.",12,2.0,"Aisle 11, Shelf 12"
Essentials Backpack,Accessories,"Grab your gear and go. The ideal size for your post-workout essentials, this adidas backpack has a roomy main compartment plus dedicated water bottle pockets. Throw it over your shoulders or carry it by the top handles, either way, your adidas love shines from every angle thanks to the contrast 3-Stripes.",32,13.0,"Aisle 11, Shelf 13"
Stan Smith Shoes,Shoes,"Since the '70s, millions of feet have stepped into the iconic Stan Smith tennis shoes, putting their own spin on the timeless court design. This time around? We're spinning it with recycled materials. Lace in and join the journey. With the same streamlined design that's been effortlessly cool for decades, you'll look fresh with every step. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",72,18.0,"Aisle 13, Shelf 3"
College Tee,Clothing,"It's all how you look at it. With this adidas t-shirt, we took '90s inspiration and flipped it for the present. The graphics reframe collegiate vibes with positive messaging, showcasing how the past informs the future and that the future is what we make of it.",23,5.0,"Aisle 12, Shelf 7"
Cargo Pants,Clothing,"It's all in the details with these adidas pants. Gold accents flash unexpectedly throughout, from the snaps to the drawstring tips to the Trefoil logo. The matching zips on the ankles get in on the fun and change the classic cargo silhouette into a tapered look.",64,16.0,"Aisle 12, Shelf 8"
Own the Run Tee,Clothing,"The drawer is full of running t-shirts that didn't quite work out. Too thick, too thin. Too tight, too loose. But the one that always seems to find its way to the top of the pile is this adidas Own the Run Tee. Made with recycled materials as part of our commitment to sustainability, it keeps you comfortable on a long loop on Sunday and a lunchtime 5K on Monday. Never settle for not-quite-right again.",28,7.0,"Aisle 12, Shelf 9"
Ultimate365 3-Stripes Polo Shirt,Clothing,"Each shot in a round of golf requires your complete concentration. From the first drive to the final putt, swing confidently in distraction-free comfort in this golf polo. It combines year-round performance on the links with adidas sportswear style.",33,32.0,"Aisle 12, Shelf 10"
Primeblue SST Track Pants (Plus Size),Clothing,"Slim and sleek and good for the planet. Sound too good to be true? Not anymore. Be part of the solution when you rock these Primeblue SST Track Pants. Part of adidas' commitment to creating a better world for all, the slightly stretchy fabric is made with Parley Ocean Plastic that's made from upcycled plastic waste collected from ocean shores. Our oceans matter. Together we can make a difference.",52,13.0,"Aisle 12, Shelf 11"
AEROREADY Designed to Move Sport Motion Logo Tee,Clothing,"Get the fit and performance of a workout tee with style that belongs in your daily-wear wardrobe in this adidas t-shirt. It sits comfortably as you bend, stretch and move through your day. You'll stay feeling dry and fresh, from a training session in the gym to whatever comes next, thanks to moisture-absorbing AEROREADY.",21,9.0,"Aisle 12, Shelf 12"
Own the Run Long Sleeve Tee,Clothing,"The key to getting in your daily miles all year round? Layers. Like this adidas long sleeve running t-shirt. The sun might be coming up later, but your burst of endorphins doesn't need to wait. Just throw on this breathable tee and head out the door as usual. AEROREADY manages moisture, so as the heat builds on tempo runs and hurt workouts, you stay cool and dry.",36,4.0,"Aisle 12, Shelf 13"
AEROREADY Designed 2 Move Feelready Sport Tee,Clothing,"Designed with training in mind, it's the smart details on this sport tee that make it stand out from the crowd. From the angled seams of the FreeLift design, enhancing range of motion during overhead movements, to the sweat-wicking AEROREADY, attention has been given to all the finishing touches.

This product is made with Primegreen, a series of high-performance recycled materials.",18,7.0,"Aisle 12, Shelf 14"
Saturday Shorts,Clothing,"There are other running shorts in your drawer, but these are the ones you reach for again and again. In fact, you'd rather wear these adidas Saturday Shorts a second day than pick a different pair. Breathable fabric absorbs moisture to keep you feeling dry on sprints and hill runs. So you come back from your run already excited about where you'll go tomorrow.",45,5.0,"Aisle 12, Shelf 15"
Brand Love Repeat Logo Half-Zip Windbreaker,Clothing,"Now here's a windbreaker stacked with personality. An allover crinkled texture. A repeated adidas Badge of Sport that will make you do a double take. And it's water-repellent, so a little drizzle won't hinder your plans. Just toss this on and head out to face the day.

This product is made with recycled content as part of our ambition to end plastic waste.",52,13.0,"Aisle 14, Shelf 1"
adidas x Zoe Saldana Crop Logo Tee (Plus Size),Clothing,"Whether it's a morning yoga flow, an afternoon run through the park or an evening of hanging with friends, the important thing is to do what makes you happy. This tee will match your energy every step of the way. Feel cool and confident with just the right amount of coverage. Pair it with tights to dial up the sports-inspired look or with your favorite denim for an everyday style that's on point for any occasion.",26,2.0,"Aisle 14, Shelf 2"
Essentials 3-Stripes Track Jacket,Clothing,Say hello to your new favorite layer. Pair this adidas track jacket with anything in your closet for an easy finish to any cool-weather outfit. It stands out with subtle details like a ribbed bomber collar and contrast 3-Stripes. It keeps you comfortable all day thanks to a loose fit and the soft double weave fabric.,48,12.0,"Aisle 14, Shelf 3"
adidas x Zoe Saldana AEROREADY Bra Top,Clothing,"Start crushing goals in daily-wear style with this adidas bra top. Move confidently through your workout with a comfortably snug fit and just the right amount of support. Then take on the rest of your day feeling fresh and dry, thanks to moisture-absorbing AEROREADY. Layer it under your favorite tee for extra coverage, or let the curved graphic print make a style statement on its own.",23,5.0,"Aisle 14, Shelf 4"
HULK STAN SMITH SHOES,Shoes,"Superheroes come in all sizes, shapes and colors. Some happen to be big, green and great at smashing things. Lace into these adidas shoes and channel the attitude of Marvel's Hulk. Okay, maybe you shouldn't go around smashing stuff, but there's no harm in feeling big and strong as you tackle workdays and weekends away. Because these trainers are made with recycled materials, you'll be joining in the commitment to help smash plastic waste.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",70,30.0,"Aisle 13, Shelf 4"
adidas x Zoe Saldana AEROREADY Sport Tee,Clothing,"This is not your average training t-shirt. AEROREADY wicks away moisture so you can stay dry and comfortable whether you're getting in a workout or taking the day off. The style is what really makes this tee shine. Literally. An iridescent adidas Badge of Sport gives it a glam touch.

This product is made with recycled content as part of our ambition to end plastic waste.",24,6.0,"Aisle 14, Shelf 5"
adidas SPRT Logo Tee,Clothing,"You know that saying about wearing your heart on your sleeve? This adidas t-shirt is like that, if your heart was a Trefoil. What can we say? Some veins just run with sport.

By buying cotton products from us, you're supporting more sustainable cotton farming.",28,7.0,"Aisle 14, Shelf 6"
Adicolor Classics 3-Stripes Tights,Clothing,"No matter where you go, you'll never forget where you came from. A celebration of adidas' rich DNA and legacy, these high-rise tights showcase the iconic marks of the Trefoil and signature 3-Stripes. Reminder: there is no bad time to celebrate. Throw them on and get after it.

By buying cotton products from us, you're supporting more sustainable cotton farming.",36,4.0,"Aisle 14, Shelf 7"
Adicolor Classics Bra Top,Clothing,"Who knew something so small could have so many options? We did. Wear this adidas bra top however the mood calls for — on its own, layered, played up or dressed down. One of the great things about it is that you really can't go wrong with your choice.

This product is made with Primegreen, a series of high-performance recycled materials.",26,2.0,"Aisle 14, Shelf 8"
Adicolor Track Pants,Clothing,"Want to feel good. Want to look good. Don't want to have to think about it. Just make sure these adidas track pants are at the top of your drawer. Verified sport style gets pared down so you can rock it with absolutely anything. Lightweight fabric is easy to move in. 

This product is made with Primegreen, a series of high-performance recycled materials.",56,24.0,"Aisle 14, Shelf 9"
FARM Rio Print Relaxed Lightweight Windbreaker,Clothing,"Cover up and stand out at the same time. This adidas windbreaker is a collaboration with FARM Rio and features a wildflower-inspired allover print that's just as vibrant as you are. Tighten up the hems for added protection if the wind really picks up.

This product is made with Primegreen, a series of high-performance recycled materials.",52,13.0,"Aisle 14, Shelf 10"
Essentials Light Down Vest,Clothing,"City streets, mountain village or exploring the backcountry, layering is your ticket to comfort in lower temperatures. This adidas vest seals in the heat with the unbeatable warmth of down and synthetic padding insulation. It's light enough to layer in cold weather and warm enough to stand alone on cool days. And it's made with recycled materials that you can feel good about. That's a winning combo of: do good, feel good, look good.",49,21.0,"Aisle 14, Shelf 11"
Adicolor Backpack,Accessories,"When it comes to choosing the perfect bag for a busy day, space is key. Throw on this adidas backpack, and carry all your gear with ease. A roomy main compartment and front and side pockets let you keep your essentials organized and accessible. Plus, it's decked out in Trefoil logo style, so you can show off your adidas love on all your daily adventures.

This product is made with Primegreen, a series of high-performance recycled materials.",27,6.0,"Aisle 11, Shelf 14"
Logo Play Cropped Hoodie,Clothing,"A stamp of originality, the Trefoil always elevates your style. This adidas hoodie takes it to the next level by playing with multiples. Two classic Trefoil logos on one side and three of them stacked in playful colors on the other. Cozy up in soft cotton and let your authentic voice shine. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",52,13.0,"Aisle 14, Shelf 12"
Adicolor Classics MM Trefoil Shorts,Clothing,"Rip up your to-do list. Close your calendar app. The new plan? Easy comfort. Slip into the seriously plush fleece of these adidas shorts and find it in an instant. Where you go next? That's totally up to you. But you'll arrive feeling fresh thanks to effortless adidas style. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is also made with recycled content as part of our ambition to end plastic waste.",36,9.0,"Aisle 14, Shelf 13"
